cour,year,season,tagId,url,verified,entries
2016-Q1,2016,冬,5646,https://www.animatetimes.com/tag/details.php?id=5646,yes,44
2016-Q2,2016,春,10669,https://www.animatetimes.com/tag/details.php?id=10669,yes,75
2016-Q3,2016,夏,10670,https://www.animatetimes.com/tag/details.php?id=10670,yes,59
2016-Q4,2016,秋,10672,https://www.animatetimes.com/tag/details.php?id=10672,yes,72
2017-Q1,2017,冬,14209,https://www.animatetimes.com/tag/details.php?id=14209,yes,49
2017-Q2,2017,春,10679,https://www.animatetimes.com/tag/details.php?id=10679,yes,70
2017-Q3,2017,夏,10680,https://www.animatetimes.com/tag/details.php?id=10680,yes,53
2017-Q4,2017,秋,6631,https://www.animatetimes.com/tag/details.php?id=6631,yes,58
2018-Q1,2018,冬,7355,https://www.animatetimes.com/tag/details.php?id=7355,yes,56
2018-Q2,2018,春,7477,https://www.animatetimes.com/tag/details.php?id=7477,yes,79
2018-Q3,2018,夏,7767,https://www.animatetimes.com/tag/details.php?id=7767,yes,57
2018-Q4,2018,秋,7991,https://www.animatetimes.com/tag/details.php?id=7991,yes,65
2019-Q1,2019,冬,8882,https://www.animatetimes.com/tag/details.php?id=8882,yes,44
2019-Q2,2019,春,9101,https://www.animatetimes.com/tag/details.php?id=9101,yes,58
2019-Q3,2019,夏,9298,https://www.animatetimes.com/tag/details.php?id=9298,yes,44
2019-Q4,2019,秋,9348,https://www.animatetimes.com/tag/details.php?id=9348,yes,59
2020-Q1,2020,冬,10978,https://www.animatetimes.com/tag/details.php?id=10978,yes,48
2020-Q2,2020,春,11560,https://www.animatetimes.com/tag/details.php?id=11560,yes,57
2020-Q3,2020,夏,11788,https://www.animatetimes.com/tag/details.php?id=11788,yes,43
2020-Q4,2020,秋,12077,https://www.animatetimes.com/tag/details.php?id=12077,yes,73
2021-Q1,2021,冬,13246,https://www.animatetimes.com/tag/details.php?id=13246,yes,83
2021-Q2,2021,春,13577,https://www.animatetimes.com/tag/details.php?id=13577,yes,90
2021-Q3,2021,夏,14266,https://www.animatetimes.com/tag/details.php?id=14266,yes,66
2021-Q4,2021,秋,14603,https://www.animatetimes.com/tag/details.php?id=14603,yes,75
2022-Q1,2022,冬,16229,https://www.animatetimes.com/tag/details.php?id=16229,yes,65
2022-Q2,2022,春,18013,https://www.animatetimes.com/tag/details.php?id=18013,yes,80
2022-Q3,2022,夏,19634,https://www.animatetimes.com/tag/details.php?id=19634,yes,70
2022-Q4,2022,秋,20383,https://www.animatetimes.com/tag/details.php?id=20383,yes,77
2023-Q1,2023,冬,21894,https://www.animatetimes.com/tag/details.php?id=21894,yes,80
2023-Q2,2023,春,22908,https://www.animatetimes.com/tag/details.php?id=22908,yes,75
2023-Q3,2023,夏,23575,https://www.animatetimes.com/tag/details.php?id=23575,yes,78
2023-Q4,2023,秋,23734,https://www.animatetimes.com/tag/details.php?id=23734,yes,93
2024-Q1,2024,冬,24176,https://www.animatetimes.com/tag/details.php?id=24176,yes,69
2024-Q2,2024,春,25098,https://www.animatetimes.com/tag/details.php?id=25098,yes,84
2024-Q3,2024,夏,25427,https://www.animatetimes.com/tag/details.php?id=25427,yes,73
2024-Q4,2024,秋,25548,https://www.animatetimes.com/tag/details.php?id=25548,yes,90
2025-Q1,2025,冬,26137,https://www.animatetimes.com/tag/details.php?id=26137,yes,72
2025-Q2,2025,春,26886,https://www.animatetimes.com/tag/details.php?id=26886,yes,102
2025-Q3,2025,夏,27428,https://www.animatetimes.com/tag/details.php?id=27428,yes,96
2025-Q4,2025,秋,27657,https://www.animatetimes.com/tag/details.php?id=27657,yes,82
2026-Q1,2026,冬,28330,https://www.animatetimes.com/tag/details.php?id=28330,yes,82
2026-Q2,2026,春,5228,https://www.animatetimes.com/tag/details.php?id=5228,yes,102
2026-Q3,2026,夏,5806,https://www.animatetimes.com/tag/details.php?id=5806,yes,87
2026-Q4,2026,秋,5947,https://www.animatetimes.com/tag/details.php?id=5947,yes,84
2027-Q1,2027,冬,6212,https://www.animatetimes.com/tag/details.php?id=6212,yes,36
